title,view_count,like_count,channel_name,published
[#이만갑모아보기] 북한 지하는 비밀 공간 가득! 숨겨진 지하 세계 속으로 #북한 #비밀공간 | 이제 만나러 갑니다 630 회,387008,2380,play 채널A,2024-01-21T15:48:31Z
궁극적인 목표는 '김가 세습' 타도! 북한이 눈에 불을 켜고 찾는 새조선의 정체는? | 이제 만나러 갑니다 661 회,11828,93,play 채널A,2024-08-26T14:36:02Z
[#부칸썰] 비싼 옷 입고 다녀서 김정일도 놀란 북한 엘리트 집안 학생들..ㄷㄷ( ☉_☉) 북한 명문 학생들은 어떤 삶을 살까? | #이만갑 1시간 몰아보기,281130,2673,play 채널A,2024-03-31T01:00:05Z
[선공개] 김진 기자 구멍 확정(?) 2024 이만갑 남북 탁구대결 | 이제 만나러 갑니다 658 회,7773,88,play 채널A,2024-08-02T09:33:30Z
[#밥친구] 한 끼에 50만 원 씁니다^^ 평양 초고층 아파트 살다가 탈북한 금수저💸 | #이만갑 1시간 몰아보기,462011,4872,채널A WORLD,2024-06-02T08:00:20Z
[#이만갑모아보기] 대한민국을 뒤집어 놓은 北의 오물 풍선 테러! 풍선 보낸 진짜 이유는? #북한 #오물풍선 | 이제 만나러 갑니다 652 회,88284,986,play 채널A,2024-06-23T15:29:56Z
[#부칸썰] 100만뷰 넘긴 아찔한 탈북 이야기! 북한에서 꼽은 최악의 탈북 사건은? 재입북 후 행불명된 임지현까지! #탈북 #이만갑 #임지현 | 이만갑 50분 몰아보기,2122881,19273,play 채널A,2023-06-23T10:00:30Z
[#밥친구] 갑자기 분뇨를 싸지른(?) 북한 😡 오물 풍선 테러로 긴장감 MAX인 한반도! | #이제만나러갑니다 652회,211778,2363,채널A WORLD,2024-06-30T13:00:10Z
현대판 노예? 과도한 국가 상납금으로 분노한 北 해외 노동자! | 이제 만나러 갑니다 661 회,27432,340,play 채널A,2024-08-26T14:49:27Z
[#밥친구] 평양 가라고 청와대에서 부재중 전화 10통이나(ㄷㄷ) 올림픽 남한X북한 아이스하키 주장이 밝히는 찐 북한 사람들😉 | #이만갑 1시간 몰아보기,88029,1101,채널A WORLD,2024-07-30T08:00:31Z
[#이만갑모아보기] 5년간 3시간씩 자면서 일하고 받은 돈이 고작?? 북한의 노동 착취 수준 #노동자 #북한 | 이제 만나러 갑니다 644 회,53523,893,play 채널A,2024-04-28T15:27:00Z
북한 선수들의 열악한 환경 #이제만나러갑니다,47993,620,play 채널A,2024-08-04T16:11:23Z
탈북하는 딸을 배웅했던 정유나의 어머니ㅠㅠ 고된 매질에 북송 협박까지 받은 사연은? l 이제 만나러 갑니다 367회 다시보기,1618339,16162,play 채널A,2018-12-30T15:35:08Z
두유 노 김일성 시전 #이제만나러갑니다,17967,176,play 채널A,2024-08-18T15:44:39Z
출근 후 갑자기 사라진 딸..32년 만에 가족을 만난 납북 승무원 | 이제 만나러 갑니다 571 회,81767,441,play 채널A,2022-11-27T15:11:14Z
[#밥친구] ※최초 공개※ 심각한 식량난과 배급 체계 붕괴로 고통받는 北 주민들.. 아이들은 가족과 생이별하는 현실😥 | #이제만나러갑니다 659회,257333,3408,채널A WORLD,2024-08-18T13:00:36Z
[#밥친구] 한국의 193번째 수교국이 된 쿠바! 숨막히는 비하인드 속으로 | #이제만나러갑니다 640회,902010,10886,채널A WORLD,2024-04-07T13:00:04Z
[#밥친구] 은밀하게 위대하게! 北에 침투하는 북파공작원의 세계 | #이제만나러갑니다 647회,1352274,9914,채널A WORLD,2024-05-26T13:00:46Z
[#이만갑모아보기] 직접 전투기 몰아 휴전선 넘은 북한군 이웅평! 상상초월 귀순 택한 이유는? | 이제 만나러 갑니다 501 회,1401802,9710,play 채널A,2022-02-06T14:14:27Z
"[#이만갑모아보기] 한 편의 영화를 본 것 같은, 생생한 탈북 비하인드♨  #탈북 #비하인드 | 이제 만나러 갑니다 651 회",139936,2576,play 채널A,2024-06-16T15:24:17Z
[#이만갑모아보기] 영양실조로 25kg가 나갔다?! 살기 위해 탈북한 두 형제의 구사일생 스토리 | 이제 만나러 갑니다 418 회,324302,4269,play 채널A,2022-01-17T14:10:52Z
※최초 공개※ 北의 처참한 환경을 알리기 위해 내부 실상 촬영해 온 탈북민! | 이제 만나러 갑니다 659 회,1311860,9296,play 채널A,2024-08-12T14:29:08Z
[#이만갑모아보기] 북한 최고위층 엘리트 외교관이 탈북을? 이만갑 단독 공개! #북한 #망명 | 이제 만나러 갑니다 641 회,176065,2677,play 채널A,2024-04-07T15:31:22Z
[#부칸썰] 일가족 9명 해상 탈북 중 北 경비정 출현! 장모님의 탈북 반대부터 탈북 발각까지 십년감수 탈북기 | #이만갑 1시간 몰아보기,703209,11688,play 채널A,2024-06-21T09:00:15Z
이만갑을 찾아온 태영호의 그녀♥ 오혜선 작가! 부부가 동반 출연한 이유는? | 이제 만나러 갑니다 582 회,293553,3752,play 채널A,2023-02-12T14:17:22Z
[#이만갑모아보기] 北 '상위 0.1%' 엘리트만 들어갈 수 있는 학교?!(⊙o⊙) '평양외국어학원'의 진실 #북한 #교육 | 이제 만나러 갑니다 600 회,202639,1996,play 채널A,2023-06-18T15:48:41Z
지금 만나러 갑니다 (Eclipse),1810184,14842,GFRIEND   - Topic,2020-02-03T14:46:23Z
[#이만갑모아보기] 북한 최고위층 엘리트 외교관이 탈북을? 이만갑 단독 공개! #북한 #망명 | 이제 만나러 갑니다 641 회,176065,2677,play 채널A,2024-04-07T15:31:22Z
치사하게 먹을 거로 😤 #이제만나러갑니다,16938,153,play 채널A,2024-08-04T16:09:29Z
"성수기에는 하루 수익 50달러! 탈북 전에, 北에서 3척의 배를 운영했던 선단장 | 이제 만나러 갑니다 651 회",40566,568,play 채널A,2024-06-17T14:20:03Z
北 다이아 수저 아내와 수재 남편이 탈북을 결심한 이유! 두 아들을 위해 선택한 탈북? | 이제 만나러 갑니다 582 회,1182140,13887,play 채널A,2023-02-13T14:09:44Z
[#이만갑모아보기] 탈북하려면 대사관을 습격해라?! 15명의 장길수 대가족 집단 탈북 사건 | 이제 만나러 갑니다 545 회,487504,5114,play 채널A,2022-06-01T14:20:43Z
北 돈세탁 전문가 심현섭! 김정은의 최측근일까?! | 이제 만나러 갑니다 657 회,5130,44,play 채널A,2024-07-29T14:29:23Z
[#밥친구] 6년 만의 일가족 탈북😯 장모님 설득하고.. 北 추격선 따돌리고.. 위험천만 탈북 비하인드 | #이제만나러갑니다 651회,903944,10549,채널A WORLD,2024-06-23T13:00:58Z
[#이만갑모아보기] 영양실조로 25kg가 나갔다?! 살기 위해 탈북한 두 형제의 구사일생 스토리 | 이제 만나러 갑니다 418 회,324302,4269,play 채널A,2022-01-17T14:10:52Z
"신스틸러 조재윤 등장★ 한국 배우의 北 사투리, 어떻게 들릴까? | 이제 만나러 갑니다 659 회",42173,390,play 채널A,2024-08-12T14:20:07Z
인민이 굶주려야 하는구나.. #이제만나러갑니다,76075,2654,play 채널A,2024-06-16T15:15:00Z
[#밥친구] 유럽에서 이렇게 쉽고 빠르게 탈북할 수 있다고?! 북한의 진실 알자마자 초고속으로 탈북한 유럽 파견 노동자ㅋㅋㅋ | #이만갑 1시간 몰아보기,626520,8048,채널A WORLD,2024-06-04T08:00:08Z
[#이만갑모아보기] 사상 초유의 北 외교관 납치 사건! 북한의 잔인한 행각 #홍순경 #납치 | 이제 만나러 갑니다 653 회,74131,990,play 채널A,2024-06-30T15:40:04Z
