title,view_count,like_count,channel_name,published
[#아빠는꽃중년] 비 오는 날 떠난 놀이동산?! 시작과 동시에 지친(?)성우ㅋㅋ #신성우 #놀이동산 | 아빠는 꽃중년 4 회,47465,464,play 채널A,2024-05-09T15:18:09Z
[#아빠는꽃중년] 내 딸의 남자친구!? 예진이가 사랑에 빠진 남자의 정체는!? #김원준 #딸 #사위 | 아빠는 꽃중년 8 회,26863,166,play 채널A,2024-06-13T14:43:12Z
"[#클립배송] 19세 연하 아내와 이혼 후,  '수입 0원'+소속사 사무실에서 생활하는 DJ DOC 정재용의 후회|#아빠는꽃중년 15회 | 아빠는 꽃중년 15 회",89182,526,채널에이드: 채널A Drama & Enjoy,2024-08-02T12:47:23Z
[#아빠는꽃중년] ↖신난 성우↗ 환준이 어린이집 행사에서 춤까지 추고 온 사연은??? #어린이집 #신성우 | 아빠는 꽃중년 11 회,21226,224,play 채널A,2024-07-04T14:31:36Z
네 명의 여성과 사는 원준♨ 숨겨둔 주인님의 정체(?) | 아빠는 꽃중년 1 회,101728,542,play 채널A,2024-04-19T13:10:17Z
[선공개] (초긴장;;;) 헤어진 연인과 재회하는 방법 검색!? 2년 만에 전부인 만나기 위해 용기 낸 정재용! | 아빠는 꽃중년 16 회,26864,84,play 채널A,2024-08-14T12:52:10Z
열공하는 초딩 딸 뒷바라지하는 김범수 #아빠는꽃중년,224723,2881,빼밀리,2024-08-29T10:30:01Z
재욱의 운명 #아빠는꽃중년,93922,1182,play 채널A,2024-05-02T14:57:14Z
구라VS엄마♨ 구라 신혼집에서 벌어진 모자 갈등 | 아빠는 꽃중년 14 회,22082,152,play 채널A,2024-07-26T13:11:53Z
"선 거절 후 승낙(?) 쇼핑계 큰 손 구라 엄마, 자연스럽게 FLEX 하는 법★ | 아빠는 꽃중년 15 회",12565,73,play 채널A,2024-08-04T22:07:45Z
쉽지 않은 선물 고르기ㅋㅋㅋ 깐깐한 구라 어머니 만나러 가는 길♪  | 아빠는 꽃중년 12 회,18723,159,play 채널A,2024-07-12T15:07:26Z
[#아빠는꽃중년] 김원준 딸랑구는 먹대장♥ 너무 잘 먹어서 17개월 아기들 중 성장 속도 1등!? | 아빠는 꽃중년 1 회,247748,1238,play 채널A,2024-04-18T14:35:24Z
온 집안이 벌써부터 고3 모드 #아빠는꽃중년,58433,442,채널에이드: 채널A Drama & Enjoy,2024-08-29T10:30:16Z
[#아빠는꽃중년] 아빠 원준이 더 고통받는;; 딸 예진이와 함께하는 발레 수업♥ | 아빠는 꽃중년 10 회,21362,188,play 채널A,2024-06-27T14:24:12Z
[#밥친구] (왜 비는 또 내리는 거야ㅠㅠㅠㅠ) 중년 성우에겐 가혹한 엄마 없는 놀이동산 나들이ㅋㅋ | #아빠는꽃중년 4회,26088,283,채널A WORLD,2024-05-16T13:00:37Z
진통 중인 아야네를 놔두고 지훈은 먹방중(?) 끝나지 않는 진통♨♨ | 아빠는 꽃중년 16 회,28119,116,play 채널A,2024-08-16T13:24:48Z
[#클립배송] 남편이 출산 장면 보지 않았으면.. 이지훈의 트라우마 걱정하는 아내 아야 | #아빠는꽃중년 16회 | 아빠는 꽃중년 16 회,51023,211,채널에이드: 채널A Drama & Enjoy,2024-08-16T14:55:58Z
"★육아 D+1★ 실전 육아에 돌입한 지훈&아야네, 이제부터 진짜 시작!? | 아빠는 꽃중년 18 회",9695,69,play 채널A,2024-08-30T13:03:37Z
벌써부터 공부 각 제대로 잡힌 초딩 #아빠는꽃중년,22505,417,play 채널A,2024-08-29T10:30:00Z
[#아빠는꽃중년] 아빠 재욱 당황(ㄷㄷ) 의젓한 수현이가 눈물 터진 이유는??? | 아빠는 꽃중년 9 회,60994,367,play 채널A,2024-06-20T14:41:30Z
[다음이야기] 재욱이네 육아 이야기 공개★ 즐겁지만 힘겨운(?) 육아 현장 | 아빠는 꽃중년 3 회,44598,190,play 채널A,2024-04-25T14:13:31Z
성우네 삼부자 바다 여행♬ 생애 첫 바다에 푹 빠진 환준이♥ | 아빠는 꽃중년 17 회,3045,36,play 채널A,2024-08-23T13:20:54Z
[#아빠는꽃중년] 수산 시장에서 신난 태오&환준과 지쳐가는 성우(?) 쉬운 게 하나 없는 중년의 육아 현장ㅋㅋㅋ | 아빠는 꽃중년 7 회,20683,278,play 채널A,2024-05-30T14:42:36Z
김범수의 영어 영재 초등학생 딸,752360,5678,빼밀리,2024-08-22T10:30:10Z
